NR_046018	DDX11L1	DDX11L1
NR_024540	WASH7P	WASH7P
NR_107063_2	MIR6859-3	MIR6859-3
NR_107063_1	MIR6859-3	MIR6859-3
NR_107063	MIR6859-3	MIR6859-3
NR_107062_1	MIR6859-2	MIR6859-2
NR_107062	MIR6859-2	MIR6859-2
NR_107062_2	MIR6859-2	MIR6859-2
NR_128720_2	MIR6859-4	MIR6859-4
NR_128720_1	MIR6859-4	MIR6859-4
NR_128720	MIR6859-4	MIR6859-4
NR_106918_2	MIR6859-1	MIR6859-1
NR_106918_1	MIR6859-1	MIR6859-1
NR_106918	MIR6859-1	MIR6859-1
NR_036268	MIR1302-11	MIR1302-11
NR_036268_1	MIR1302-11	MIR1302-11
NR_036268_2	MIR1302-11	MIR1302-11
NR_036268_3	MIR1302-11	MIR1302-11
NR_036266	MIR1302-9	MIR1302-9
NR_036266_1	MIR1302-9	MIR1302-9
NR_036266_2	MIR1302-9	MIR1302-9
NR_036266_3	MIR1302-9	MIR1302-9
NR_036051_3	MIR1302-2	MIR1302-2
NR_036051_2	MIR1302-2	MIR1302-2
NR_036051_1	MIR1302-2	MIR1302-2
NR_036051	MIR1302-2	MIR1302-2
NR_036267_2	MIR1302-10	MIR1302-10
NR_036267_1	MIR1302-10	MIR1302-10
NR_036267	MIR1302-10	MIR1302-10
NR_036267_3	MIR1302-10	MIR1302-10
NR_026818	FAM138A	FAM138A
NR_026818_1	FAM138A	FAM138A
NR_026820	FAM138F	FAM138F
NR_026820_1	FAM138F	FAM138F
NM_001005484	OR4F5	OR4F5
NR_039983	LOC729737	LOC729737
NR_028327_1	LOC100133331	LOC100133331
NR_028327_2	LOC100133331	LOC100133331
NR_028327	LOC100133331	LOC100133331
NR_028322	LOC100132287	LOC100132287
NR_028322_1	LOC100132287	LOC100132287
NR_028325	LOC100132062	LOC100132062
NR_028325_1	LOC100132062	LOC100132062
NM_001005224_2	OR4F3	OR4F3
NM_001005224	OR4F3	OR4F3
NM_001005224_1	OR4F3	OR4F3
NM_001005221	OR4F29	OR4F29
NM_001005221_1	OR4F29	OR4F29
NM_001005221_2	OR4F29	OR4F29
NM_001005277	OR4F16	OR4F16
NM_001005277_1	OR4F16	OR4F16
NM_001005277_2	OR4F16	OR4F16
NR_125957	LOC101928626	LOC101928626
NR_106781	MIR6723	MIR6723
NR_033908	LOC100288069	LOC100288069
NR_103536	FAM87B	FAM87B
NR_024321	LINC00115	LINC00115
NR_047519	LINC01128	LINC01128
NR_047526	LINC01128	LINC01128
NR_047524	LINC01128	LINC01128
NR_047521	LINC01128	LINC01128
NR_047523	LINC01128	LINC01128
NR_047525	LINC01128	LINC01128
NR_027055	FAM41C	FAM41C
NR_122045	LOC100130417	LOC100130417
NR_026874	LOC100130417	LOC100130417
NM_152486	SAMD11	SAMD11
NM_015658	NOC2L	NOC2L
NM_198317	KLHL17	KLHL17
NM_001160184	PLEKHN1	PLEKHN1
NM_032129	PLEKHN1	PLEKHN1
NM_001291366	PERM1	PERM1
NM_001291367	PERM1	PERM1
NM_021170	HES4	HES4
NM_001142467	HES4	HES4
NM_005101	ISG15	ISG15
NM_198576	AGRN	AGRN
NM_001305275	AGRN	AGRN
NM_001205252	RNF223	RNF223
NM_017891	C1orf159	C1orf159
NR_038869	LINC01342	LINC01342
NR_029639	MIR200B	MIR200B
NR_029834	MIR200A	MIR200A
NR_029957	MIR429	MIR429
NM_001130045	TTLL10	TTLL10
NM_153254	TTLL10	TTLL10
NM_148901	TNFRSF18	TNFRSF18
NM_148902	TNFRSF18	TNFRSF18
NM_004195	TNFRSF18	TNFRSF18
NM_003327	TNFRSF4	TNFRSF4
NM_016176	SDF4	SDF4
NM_016547	SDF4	SDF4
NM_080605	B3GALT6	B3GALT6
NM_001014980	FAM132A	FAM132A
NM_194315	UBE2J2	UBE2J2
NM_194458	UBE2J2	UBE2J2
NM_194457	UBE2J2	UBE2J2
NM_058167	UBE2J2	UBE2J2
NM_001130413	SCNN1D	SCNN1D
NR_037668	SCNN1D	SCNN1D
NM_030649	ACAP3	ACAP3
NR_106784	MIR6726	MIR6726
NM_153339	PUSL1	PUSL1
NM_001256456	CPSF3L	CPSF3L
NM_001256460	CPSF3L	CPSF3L
NM_001256462	CPSF3L	CPSF3L
NM_017871	CPSF3L	CPSF3L
NM_001256463	CPSF3L	CPSF3L
NR_106785	MIR6727	MIR6727
NM_001029885	CPTP	CPTP
NM_152228	TAS1R3	TAS1R3
NM_004421	DVL1	DVL1
NR_106866	MIR6808	MIR6808
NM_001282585	MXRA8	MXRA8
NM_001282584	MXRA8	MXRA8
NM_001282582	MXRA8	MXRA8
NM_001282583	MXRA8	MXRA8
NM_032348	MXRA8	MXRA8
NM_001127229	AURKAIP1	AURKAIP1
NM_017900	AURKAIP1	AURKAIP1
NM_001127230	AURKAIP1	AURKAIP1
NM_030937	CCNL2	CCNL2
NM_001039577	CCNL2	CCNL2
NR_015434	LOC148413	LOC148413
NM_017971	MRPL20	MRPL20
NM_001145210	ANKRD65	ANKRD65
NM_001243535	ANKRD65	ANKRD65
NM_001243536	ANKRD65	ANKRD65
NM_001146685	TMEM88B	TMEM88B
NR_125996	LOC102724312	LOC102724312
NR_125995	LOC102724312	LOC102724312
NR_125994	LOC102724312	LOC102724312
NM_022834	VWA1	VWA1
NM_199121	VWA1	VWA1
NM_001039211	ATAD3C	ATAD3C
NM_031921	ATAD3B	ATAD3B
NM_001170535	ATAD3A	ATAD3A
NM_018188	ATAD3A	ATAD3A
NM_001170536	ATAD3A	ATAD3A
NM_001114748	TMEM240	TMEM240
NM_014188	SSU72	SSU72
NM_001242659	C1orf233	C1orf233
NM_080875	MIB2	MIB2
NR_033183	MIB2	MIB2
NM_001170687	MIB2	MIB2
NM_001170686	MIB2	MIB2
NM_001170688	MIB2	MIB2
NM_001170689	MIB2	MIB2
NM_006983	MMP23B	MMP23B
NR_002946	MMP23A	MMP23A
NR_002946_1	MMP23A	MMP23A
NM_001787	CDK11B	CDK11B
NM_033489	CDK11B	CDK11B
NM_033487	CDK11B	CDK11B
NM_033486	CDK11B	CDK11B
NM_033490	CDK11B	CDK11B
NM_001291345	CDK11B	CDK11B
NM_001110781	SLC35E2B	SLC35E2B
NM_001290264	SLC35E2B	SLC35E2B
NM_033529	CDK11A	CDK11A
NM_024011	CDK11A	CDK11A
NM_001199787	SLC35E2	SLC35E2
NM_182838	SLC35E2	SLC35E2
NM_001198993	NADK	NADK
NM_001198995	NADK	NADK
NM_001198994	NADK	NADK
NM_023018	NADK	NADK
NM_002074	GNB1	GNB1
NM_001282539	GNB1	GNB1
NM_001282538	GNB1	GNB1
NM_138705	CALML6	CALML6
NM_178545	TMEM52	TMEM52
NM_001304360	CFAP74	CFAP74
NM_000815	GABRD	GABRD
NM_002744	PRKCZ	PRKCZ
NM_001033581	PRKCZ	PRKCZ
